"cod","country","second","pop_risk","pop_tot","incid"
"USA-3551","United States of America","Tennessee",0,70791.6957294008,0
"USA-3552","United States of America","Virginia",0,90353.6483944669,0
"USA-3553","United States of America","Wisconsin",0,66441.1722042711,0
"USA-3554","United States of America","West Virginia",0,18843.5848769078,0
"USA-3555","United States of America","Delaware",0,11010.989702733,0
"USA-3556","United States of America","District of Columbia",0,6882.00448538745,0
"USA-3557","United States of America","Maryland",0,61071.5800823434,0
"USA-3558","United States of America","New Jersey",0,89514.2219104857,0
"USA-3559","United States of America","New York",0,174623.989628138,0
"USA-3560","United States of America","Pennsylvania",0,130762.728896847,0
"USA-3561","United States of America","Maine",0,13045.9929390658,0
"USA-3562","United States of America","Michigan",0,104759.825378641,0
"USA-3563","United States of America","Alaska",0,7878.13349430478,0
"USG+00?","US Naval Base Guantanamo Bay","Guantanamo Bay USNB",35.5565745019878,35.5565745019878,1
"VCT-5063","Saint Vincent and the Grenadines","Charlotte",0,0,0
"VCT-5064","Saint Vincent and the Grenadines","Grenadines",0,0,0
"VCT-5065","Saint Vincent and the Grenadines","Saint Andrew",0,153.889565145363,0
"VCT-5066","Saint Vincent and the Grenadines","Saint David",0,56.6615681964188,0
"VCT-5067","Saint Vincent and the Grenadines","Saint George",0,0,0
"VCT-5068","Saint Vincent and the Grenadines","Saint Patrick",0,0,0
"VEN+99?","Venezuela",NA,0,0,0
"VEN-23","Venezuela","Falcón",9728.79655160359,10435.8196116949,0.932250356330515
"VEN-25","Venezuela","Apure",2602.35177222667,6181.37968517564,0.420998531843579
"VEN-26","Venezuela","Barinas",1955.41644461989,10299.0412932569,0.189863928975618
"VEN-27","Venezuela","Mérida",4107.98915435066,9573.78123747609,0.42908742663454
"VEN-28","Venezuela","Táchira",2424.34110400991,15536.8860896295,0.156037772950405
"VEN-29","Venezuela","Trujillo",5381.7743575658,7680.71508928715,0.700686628133381
"VEN-31","Venezuela","Zulia",33361.3050743796,45160.2833982139,0.738731083244244
"VEN-32","Venezuela","Cojedes",3532.93237450581,3852.82732773456,0.916971375559451
"VEN-33","Venezuela","Carabobo",27993.8734245324,27993.8734245324,1
"VEN-34","Venezuela","Lara",6473.39902056827,19384.1076350524,0.333953934967962
"VEN-35","Venezuela","Portuguesa",1803.36304296497,9739.41991402741,0.185161237412881
"VEN-36","Venezuela","Yaracuy",6577.94657965676,7660.72235089038,0.858658789388474
"VEN-38","Venezuela","Amazonas",1554.20607488221,1816.40267243634,0.855650621124419
"VEN-39","Venezuela","Bolívar",16723.7903914533,17996.5249370497,0.929278871890641
"VEN-40","Venezuela","Anzoátegui",15248.5780764431,17555.6049910273,0.868587444536183
"VEN-41","Venezuela","Aragua",19289.3137723552,19289.3137723552,1
"VEN-42","Venezuela","Vargas",6612.39067011734,6612.39067011734,1
"VEN-43","Venezuela","Distrito Capital",9092.58986259503,9092.58986259503,1
"VEN-44","Venezuela","Dependencias Federales",0,0,0
"VEN-45","Venezuela","Guárico",5578.27480456413,8431.7077196311,0.661583037511669
"VEN-46","Venezuela","Monagas",9662.19658784099,10517.2507197263,0.918699843269728
"VEN-47","Venezuela","Miranda",36451.7693076635,36451.7693076635,1
"VEN-48","Venezuela","Nueva Esparta",5013.93972370655,5079.76475379428,0.987041716835694
"VEN-49","Venezuela","Sucre",9103.86037754728,9316.68300412538,0.977156824324294
"VEN-65","Venezuela","Delta Amacuro",3928.10392196209,3928.10392196209,1
"VGB+00?","British Virgin Islands","British Virgin Islands",0,92.2020728318969,0
"VIR-4869","United States Virgin Islands","Saint John",0,0,0
"VIR-4870","United States Virgin Islands","Saint Croix",0,460.596607677171,0
